Variable,(1) 劳动密集型,(2) 资本密集型,(3) 技术密集型,(4) KRR,(5) NLP,(6) CV,(7) ML
AI_utilize,0.1583,-0.0640,0.0709***,,,,
,(0.1221),(0.0802),(0.0215),,,,
Size,0.1890***,0.1812***,0.3447***,0.3495***,0.3479***,0.3459***,0.3477***
,(0.0570),(0.0410),(0.0302),(0.0305),(0.0305),(0.0301),(0.0305)
Age,0.5703**,-0.4142**,-0.5528***,-0.5572***,-0.5579***,-0.5464***,-0.5620***
,(0.2735),(0.2048),(0.1777),(0.1788),(0.1785),(0.1788),(0.1780)
ROA,-0.3180,0.2769,0.4503**,0.4387**,0.4441**,0.4441**,0.4434**
,(0.3315),(0.3064),(0.1840),(0.1836),(0.1839),(0.1848),(0.1835)
Leverage,-0.4104**,-0.1801,-0.0728,-0.0752,-0.0744,-0.0712,-0.0745
,(0.1780),(0.1401),(0.0901),(0.0902),(0.0900),(0.0905),(0.0898)
Growth,0.0732*,-0.0779**,-0.0880***,-0.0887***,-0.0886***,-0.0878***,-0.0888***
,(0.0427),(0.0358),(0.0259),(0.0258),(0.0258),(0.0259),(0.0258)
Rdintensity,2.4033*,1.7694**,1.8737***,1.8981***,1.8976***,1.8790***,1.8958***
,(1.3827),(0.8817),(0.3443),(0.3452),(0.3432),(0.3469),(0.3440)
KRR,,,,0.0094,,,
,,,,(0.0793),,,
NLP,,,,,0.0560,,
,,,,,(0.0350),,
CV,,,,,,0.1151***,
,,,,,,(0.0338),
ML,,,,,,,0.0635*
,,,,,,,(0.0370)
N,2928,4937,11696,11696,11696,11696,11696
adj. R2,0.6519,0.6089,0.6981,0.6978,0.6979,0.6981,0.6979
