Variable,(1),(2),(3),(4),(5)
Learningbased,0.0713***,,,,
,(0.0227),,,,
Size,0.2553***,0.2588***,0.2579***,0.2558***,0.2577***
,(0.0238),(0.0241),(0.0241),(0.0238),(0.0240)
Age,-0.2935**,-0.2969**,-0.2974**,-0.2897**,-0.3002**
,(0.1236),(0.1242),(0.1241),(0.1240),(0.1239)
ROA,0.3761**,0.3646**,0.3691**,0.3713**,0.3701**
,(0.1467),(0.1467),(0.1466),(0.1472),(0.1466)
Leverage,-0.1681**,-0.1690**,-0.1694**,-0.1667**,-0.1681**
,(0.0684),(0.0684),(0.0684),(0.0684),(0.0683)
Growth,-0.0689***,-0.0694***,-0.0694***,-0.0684***,-0.0696***
,(0.0192),(0.0192),(0.0192),(0.0192),(0.0192)
Rdintensity,2.0372***,2.0662***,2.0595***,2.0363***,2.0603***
,(0.3074),(0.3096),(0.3074),(0.3110),(0.3083)
KRR,,-0.0057,,,
,,(0.0701),,,
NLP,,,0.0498,,
,,,(0.0346),,
CV,,,,0.1284***,
,,,,(0.0325),
ML,,,,,0.0575*
,,,,,(0.0345)
N,19637,19637,19637,19637,19637
adj. R2,0.6785,0.6783,0.6784,0.6786,0.6784
