Variable,(1) 调整FE,(2) 聚类企业,(3) 增加控制
AI_utilize,0.0768***,0.0671**,0.0717***
,(0.0231),(0.0310),(0.0216)
Size,0.2690***,0.2556***,0.2655***
,(0.0282),(0.0302),(0.0247)
Age,-0.3396**,-0.2950*,-0.2808**
,(0.1499),(0.1694),(0.1282)
ROA,0.2631,0.3769**,0.3407**
,(0.1692),(0.1560),(0.1493)
Leverage,-0.1580**,-0.1680*,-0.1910***
,(0.0747),(0.0931),(0.0706)
Growth,-0.0558**,-0.0691***,-0.0656***
,(0.0218),(0.0200),(0.0192)
Rdintensity,1.9314***,2.0329***,2.0063***
,(0.3246),(0.3482),(0.3174)
HHI_资产,,,0.2658
,,,(0.2036)
GDP增速,,,0.0006
,,,(0.0037)
N,19468,19637,18389
adj. R2,0.6124,0.6785,0.6817
